WARNING:tensorflow:Gradients do not exist for variables ['graph_sage_network/dense_7/kernel:0', 'graph_sage_network/dense_7/bias:0', 'graph_sage_network/dense_10/kernel:0', 'graph_sage_network/dense_10/bias:0'] when minimizing the loss.
WARNING:tensorflow:Gradients do not exist for variables ['graph_sage_network/dense_7/kernel:0', 'graph_sage_network/dense_7/bias:0', 'graph_sage_network/dense_10/kernel:0', 'graph_sage_network/dense_10/bias:0'] when minimizing the loss.
Seen data: 0000512 	 Avg loss since last validation: 1.188772 	 Data per second: 0.01          
Seen data: 0001024 	 Avg loss since last validation: 1.177980 	 Data per second: 0.01          
Seen data: 0001536 	 Avg loss since last validation: 1.194706 	 Data per second: 0.01          
Seen data: 0002048 	 Avg loss since last validation: 1.196672 	 Data per second: 0.02          
Seen data: 0002560 	 Avg loss since last validation: 1.224290 	 Data per second: 0.02          
Seen data: 0003072 	 Avg loss since last validation: 1.204114 	 Data per second: 0.02          
Seen data: 0003584 	 Avg loss since last validation: 1.210905 	 Data per second: 0.03          
Seen data: 0004096 	 Avg loss since last validation: 1.210721 	 Data per second: 0.05          
Seen data: 0004608 	 Avg loss since last validation: 1.205039 	 Data per second: 0.09          
Seen data: 0005120 	 Avg loss since last validation: 1.198888 	 Data per second: 1.05          
Seen data: 0005632 	 Avg loss since last validation: 1.198717 	 Data per second: 3.78          
Seen data: 0006144 	 Avg loss since last validation: 1.203512 	 Data per second: 3.82          
Seen data: 0006656 	 Avg loss since last validation: 1.200288 	 Data per second: 3.84          
Seen data: 0007168 	 Avg loss since last validation: 1.203337 	 Data per second: 3.83          
Seen data: 0007680 	 Avg loss since last validation: 1.202003 	 Data per second: 3.85          
Seen data: 0008192 	 Avg loss since last validation: 1.197944 	 Data per second: 3.83          
Seen data: 0008704 	 Avg loss since last validation: 1.200681 	 Data per second: 3.83          
Seen data: 0009216 	 Avg loss since last validation: 1.196100 	 Data per second: 3.85          
Seen data: 0009728 	 Avg loss since last validation: 1.189308 	 Data per second: 3.83          
Seen data: 0010240 	 Avg loss since last validation: 1.185307 	 Data per second: 3.83          
Seen data: 0010752 	 Avg loss since last validation: 1.183232 	 Data per second: 3.84          
Seen data: 0011264 	 Avg loss since last validation: 1.183661 	 Data per second: 3.83          
Seen data: 0011776 	 Avg loss since last validation: 1.176025 	 Data per second: 3.82          
Seen data: 0012288 	 Avg loss since last validation: 1.174153 	 Data per second: 3.82          
Seen data: 0012800 	 Avg loss since last validation: 1.173598 	 Data per second: 3.82          
Seen data: 0013312 	 Avg loss since last validation: 1.172283 	 Data per second: 3.84          
Seen data: 0013824 	 Avg loss since last validation: 1.165684 	 Data per second: 3.82          
Seen data: 0014336 	 Avg loss since last validation: 1.161976 	 Data per second: 3.79          
Seen data: 0014848 	 Avg loss since last validation: 1.160939 	 Data per second: 3.79          
Seen data: 0015360 	 Avg loss since last validation: 1.155811 	 Data per second: 3.80          
Seen data: 0015872 	 Avg loss since last validation: 1.151126 	 Data per second: 3.78          
Seen data: 0016384 	 Avg loss since last validation: 1.150003 	 Data per second: 3.77          
Seen data: 0016896 	 Avg loss since last validation: 1.146833 	 Data per second: 3.76          
Seen data: 0017408 	 Avg loss since last validation: 1.143834 	 Data per second: 3.77          
Seen data: 0017920 	 Avg loss since last validation: 1.140726 	 Data per second: 3.76          
Seen data: 0018432 	 Avg loss since last validation: 1.136712 	 Data per second: 3.75          
Seen data: 0018944 	 Avg loss since last validation: 1.133711 	 Data per second: 3.73          
Seen data: 0019456 	 Avg loss since last validation: 1.131979 	 Data per second: 3.74          
Seen data: 0019968 	 Avg loss since last validation: 1.128258 	 Data per second: 3.76          
Seen data: 0020480 	 Avg loss since last validation: 1.125405 	 Data per second: 3.73          
Seen data: 0020992 	 Avg loss since last validation: 1.124857 	 Data per second: 3.77          
Seen data: 0021504 	 Avg loss since last validation: 1.122849 	 Data per second: 3.77          
Seen data: 0022016 	 Avg loss since last validation: 1.122135 	 Data per second: 3.78          
Seen data: 0022528 	 Avg loss since last validation: 1.121118 	 Data per second: 3.77          
Seen data: 0023040 	 Avg loss since last validation: 1.120101 	 Data per second: 3.77          
Seen data: 0023552 	 Avg loss since last validation: 1.117512 	 Data per second: 3.78          
Seen data: 0024064 	 Avg loss since last validation: 1.115716 	 Data per second: 3.76          
Seen data: 0024576 	 Avg loss since last validation: 1.114326 	 Data per second: 3.76          
Seen data: 0025088 	 Avg loss since last validation: 1.112999 	 Data per second: 3.74          
Seen data: 0025600 	 Avg loss since last validation: 1.110682 	 Data per second: 3.76          
Seen data: 0026112 	 Avg loss since last validation: 1.109854 	 Data per second: 3.74          
Seen data: 0026624 	 Avg loss since last validation: 1.108260 	 Data per second: 3.76          
Seen data: 0027136 	 Avg loss since last validation: 1.108092 	 Data per second: 3.78          
Seen data: 0027648 	 Avg loss since last validation: 1.105072 	 Data per second: 3.77          
Seen data: 0028160 	 Avg loss since last validation: 1.104058 	 Data per second: 3.78          
Seen data: 0028672 	 Avg loss since last validation: 1.102607 	 Data per second: 3.80          
Seen data: 0029184 	 Avg loss since last validation: 1.100566 	 Data per second: 3.79          
Seen data: 0029696 	 Avg loss since last validation: 1.098923 	 Data per second: 3.80          
Seen data: 0030208 	 Avg loss since last validation: 1.098845 	 Data per second: 3.81          
Seen data: 0030720 	 Avg loss since last validation: 1.097496 	 Data per second: 3.83          
Seen data: 0031232 	 Avg loss since last validation: 1.095017 	 Data per second: 3.84          
Seen data: 0031744 	 Avg loss since last validation: 1.093267 	 Data per second: 3.85          
Seen data: 0032256 	 Avg loss since last validation: 1.092507 	 Data per second: 3.85          
Seen data: 0032768 	 Avg loss since last validation: 1.090877 	 Data per second: 3.80          
Seen data: 0033280 	 Avg loss since last validation: 1.089418 	 Data per second: 3.80          
Seen data: 0033792 	 Avg loss since last validation: 1.088252 	 Data per second: 3.81          
Seen data: 0034304 	 Avg loss since last validation: 1.086949 	 Data per second: 3.85          
Seen data: 0034816 	 Avg loss since last validation: 1.084500 	 Data per second: 3.77          
Seen data: 0035328 	 Avg loss since last validation: 1.083642 	 Data per second: 3.75          
Seen data: 0035840 	 Avg loss since last validation: 1.082586 	 Data per second: 3.71          
Seen data: 0036352 	 Avg loss since last validation: 1.081592 	 Data per second: 3.71          
Seen data: 0036864 	 Avg loss since last validation: 1.080291 	 Data per second: 3.66          
Seen data: 0037376 	 Avg loss since last validation: 1.079521 	 Data per second: 3.63          
Seen data: 0037888 	 Avg loss since last validation: 1.078483 	 Data per second: 3.68          
Seen data: 0038400 	 Avg loss since last validation: 1.078963 	 Data per second: 3.66          
Seen data: 0038912 	 Avg loss since last validation: 1.077883 	 Data per second: 3.65          
Seen data: 0039424 	 Avg loss since last validation: 1.076808 	 Data per second: 3.64          
Seen data: 0039936 	 Avg loss since last validation: 1.075968 	 Data per second: 3.71          
Seen data: 0040448 	 Avg loss since last validation: 1.074438 	 Data per second: 3.72          
Seen data: 0040960 	 Avg loss since last validation: 1.074197 	 Data per second: 3.73          
Seen data: 0041472 	 Avg loss since last validation: 1.072473 	 Data per second: 3.70          
Seen data: 0041984 	 Avg loss since last validation: 1.070613 	 Data per second: 3.74          
Seen data: 0042496 	 Avg loss since last validation: 1.069692 	 Data per second: 3.76          
Seen data: 0043008 	 Avg loss since last validation: 1.068118 	 Data per second: 3.76          
Seen data: 0043520 	 Avg loss since last validation: 1.067887 	 Data per second: 3.71          
Seen data: 0044032 	 Avg loss since last validation: 1.067125 	 Data per second: 3.71          
Seen data: 0044544 	 Avg loss since last validation: 1.066749 	 Data per second: 3.67          
Seen data: 0045056 	 Avg loss since last validation: 1.065640 	 Data per second: 3.67          
Seen data: 0045568 	 Avg loss since last validation: 1.064418 	 Data per second: 3.69          
Seen data: 0046080 	 Avg loss since last validation: 1.062671 	 Data per second: 3.71          
Seen data: 0046592 	 Avg loss since last validation: 1.061823 	 Data per second: 3.72          
Seen data: 0047104 	 Avg loss since last validation: 1.060259 	 Data per second: 3.74          
Seen data: 0047616 	 Avg loss since last validation: 1.059993 	 Data per second: 3.72          
Seen data: 0048128 	 Avg loss since last validation: 1.058938 	 Data per second: 3.69          
Seen data: 0048640 	 Avg loss since last validation: 1.057245 	 Data per second: 3.72          
Seen data: 0049152 	 Avg loss since last validation: 1.056944 	 Data per second: 3.73          
Seen data: 0049664 	 Avg loss since last validation: 1.055661 	 Data per second: 3.76          
Seen data: 0050000 	 Avg loss since last validation: 1.054142 	 Data per second: 3.90          
